1567441-4826 	 munkaterület
1704684-5206 	 multiciklon
1704718-3606, 6411, 6821 	 lambda
1704746-52 	 szakaszos@betáplálású@eleveniszapos@szennyvíztisztító
1704775-6811 	 vákuumcső
1704813-3606, 5206 	 biológiailag@könnyen@lebontható@anyag
1704827-2841, 6811 	 részecskeméret
1704845-6811 	 térfogatszázalék
1704847-5206 	 töltött@torony
1704848-5206 	 tányéros@torony
1704858-6811 	 analizátor
1704876-6811 	 nagy@teljesítményű@folyadékkromatográfia
1704970-10 	 pénzügyi@transzfer
1706253-1631, 44 	 munkabalesetek@európai@statisztikája
1708240-2431 	 járadékszolgáltatás
1708369-2431, 28, 44 	 nyugdíjjogosultság
1708377-2431 	 nyugdíjígérvény
1708533-2826, 2841, 6811 	 crack@kokain
1708659-1216 	 bűncselekményből@származó@jövedelem
1708806-20, 2031 	 távértékesítés
1708902-5631 	 testösszetétel
1709032-2826, 2841, 7606 	 Dohányzásmentes@Világnap
1710453-24 	 keresztértékesítés
1710807-66, 6616 	 szénhez@kötött@metán
1712110-6411 	 tervezési@érték
1712281-56 	 zöld@szüret
1715511-2831, 3611 	 műtárgy
1716055-2841 	 méhrák
1716599-12 	 zárlat
1716653-0811 	 donor@ország
1716769-2011 	 szállítási@bizonyítvány
1716815-0436 	 tényezőár
1717158-0431 	 ifjúsági@tanács
1717329-4406, 4426 	 nemzeti@minimálbér
1717542-0821 	 felszíni@telepítésű@légvédelem
1717601-2826 	 pénznyerő@automata
1718721-3206 	 Erasmus@Egyetem@,@Rotterdam
1719170-0436, 12 	 végrehajtó
1719755-20, 2431 	 exporthitel-biztosítás
1720663-2841 	 esettanulmány
1720896-4006 	 társasági@jog
1721127-0421 	 holland@parlament
1721285-2826, 2836 	 bentlakásos@gondozás
1721384-0436, 6831 	 építmény
1722607-1216, 1221 	 lefoglalás
1723309-5211 	 kovamoszat
1723598-4816 	 meghosszabbítható@pótkocsi
1723945-68 	 utólagos@átalakítás
1724049-0436, 3611, 4406 	 védett@munkahely
1724206-2841 	 keresztmetszet
1724367-3606, 56 	 homokos@agyagos@vályog
1724412-16, 24, 2406 	 folyófizetésimérleg-többlet
1724940-3606 	 abiotikus@környezeti@hatások
1726536-3606 	 szerotipizálás
1726586-1236, 2841 	 megelőző@egészségügyi@ellátás
1727533-2446 	 az@Unióban@adóügyi@illetőséggel@rendelkező@adózó
1727554-1216, 2421, 2826 	 feketepénz
1727783-5206, 6626 	 energiafüggetlenség
1728114-2011 	 általános@vámkedvezmény-rendszer
1728957-6616 	 tömött@kőzetekben@lévő@földgáz
1728969-0436 	 multiplex@mozi
1729835-0436 	 félállami@szervezet
1729932-0436 	 telepes
1730273-2841 	 informális@gondozás
1730278-16, 24 	 tőkerészesedés
1730309-2836, 4421 	 nyugdíj
1730336-0436 	 osztályvezető
1730345-4006 	 szervezeti@struktúra
1730350-1211, 2026 	 fogyasztó
1732117-36 	 összetett@mikroszkóp
1732168-6621, 6826 	 transzformátor-tekercselés
1732744-0436 	 vonzáskörzet
1733058-2826, 36 	 körvonal
1733146-2841 	 buborékcsomagolás
1733263-4816, 6821 	 peremhuzal
1733305-6811 	 stabilitás
1733394-6841 	 kelme
1733476-6821 	 befogópofa
1733633-0436 	 gumioldó@szer
1733732-0436, 6411, 6811 	 ragacsosító@anyag
1735176-3606 	 levágási@pont
1735207-6811 	 rezolúció
1735552-28, 3611 	 jelnyelv
1736028-3606, 5631 	 szelekciós@nemesítés
1736497-2841, 5631 	 autovakcina
1736922-0436, 0821 	 rendőrbot
1737664-2841 	 ápolási@intézmény
1737673-0436, 12 	 büntetés-végrehajtási@állomány@tagja
1737771-56 	 szent@László-tárnics
1737778-2841, 5631 	 tétel
1737787-0436 	 visszatérési@program
1738176-2426 	 mezzanine@finanszírozás
1738231-0436, 0821 	 helyzetelemző@központ
1738276-0436, 2811 	 menekültügyi@eljárás
1738305-10, 1231 	 vegyes@megállapodás
1738404-2431, 2841 	 fejkvóta
1738417-12, 28 	 pártfogó@felügyelet
1738603-2841, 5631 	 fertőző@szivacsos@agyvelőbántalom
1738610-2826 	 önszerveződő@szervezet
1738622-04, 1631 	 országelemzés
1739048-24 	 devizakockázat-kezelés
1739278-2446 	 adókiadás
1739334-0436, 0816 	 az@OPCW@Végrehajtó@Tanácsa
1739338-0436 	 a@Vegyifegyver-tilalmi@Szervezet@Technikai@Titkársága
1739471-0436, 12 	 cselekvőképtelensége@folytán@nem@képes@hozzájárulását@megadni
1739556-0436, 24 	 többletbevétel
1739570-2826 	 tömegsport
1740026-1231 	 nemzetközi@jogrend
1740256-1221, 1231, 7606 	 az@UNCITRAL@választottbírósági@szabályzata
1740274-1236, 2826 	 szociális@jogok
1740276-1236 	 kollektív@jogok
1742131-2841 	 Európai@Szervtranszplantációs@Társaság
1742768-12, 3226 	 kísérőlevél
1744979-0436, 2431 	 direktbiztosító
1745260-16 	 gazdasági@ellenálló@képesség
1745301-0436, 3236 	 időtálló
1745308-1606, 2406 	 beáramló@likviditás
1745998-16 	 változásmenedzsment
1746071-2836, 4416 	 gondozói@szabadság
1746116-2011 	 terminálüzemeltető
1746297-3226, 3236 	 adattitkosítási@szabvány
1746399-3236 	 időzített@bomba
1746452-4006 	 vállalkozói@lét
1746505-3226, 3236, 6411 	 hálózati@topológia
1746650-6621 	 terhelési@profil
1746654-0436, 16 	 költségtényező
1746831-3606 	 faujazit
1746929-6411 	 kopásvizsgálat
1747009-6811 	 töltőanyag
1747010-6811 	 fázis
1747012-6811 	 bepárlás@utáni@maradék
1747037-6616 	 hidrokonverzió
1747092-6811 	 elúció
1747114-6811 	 polidiszperzitás
1748115-56 	 visszadobás
1748225-6811 	 meghatározási@határ
1748226-1631, 36, 6811 	 relatív@szórás
1748840-16, 2416 	 életképesség-vizsgálat
1748909-24 	 továbbkölcsönzés
1749209-4826 	 házifuvarlevél
1749210-4806, 4816 	 CMR-fuvarlevél
1749223-0436, 0806 	 attasé
1750195-5631 	 ülőrudas@ház
1751126-2841, 6811 	 bőrirritáció
1751133-2841, 52, 56 	 biztonságfarmakológia
1751135-5626 	 koformuláns
1751328-2841, 5631 	 keresztvédettség
1751335-2841, 5631 	 kriosztát@metszet
1751655-3606 	 megkülönböztethetőség
1751699-3236 	 leszálló@(@műholdas@)@összeköttetés
1751928-5631, 6811 	 szpájkolt@minta
1752038-5641 	 abundanciaindex
1752080-10 	 polgárok@Európája
1752341-5636 	 tengerparti@jegenyefenyő
1752570-5631 	 hízlalás@alatti@súlygyarapodás
1752630-2841, 3606 	 genetikai@rezisztencia
1752750-1631, 6811 	 pontmintavétel
1753138-1631 	 szubjektív@mintavétel
1753497-3606, 5211, 5641 	 öblöscsiga
1753593-3226, 4826 	 szelektív@mód
1753931-5641 	 part@menti@halászat
1754025-56 	 szuperelit@vetőburgonya
1754415-5631 	 újratelepítés
1754443-10 	 korlátozott@terjesztésű
1754543-2841 	 vírustörzsanyag
1755188-3221, 3236 	 nyílt@szabvány
1755323-3606 	 fenotípusos@tulajdonság
1755334-2841, 6416 	 kiváltó@dózis
1756246-6626, 6826 	 gőzfázisú@kémiai@lecsapatás
1756255-3236, 6826 	 monomódusú@szál
1756279-3236 	 síkpanel@megjelenítő
1756305-6826 	 lecsupaszított@zóna
1756315-6816 	 nem@elektrolitikus@bevonás
1756357-6811, 6826 	 poliszilícium
1756393-6811 	 III/V@vegyület
1756497-3236 	 rekord
1756563-3236, 6821 	 teljesítőképességi@követelmény
1756769-3226, 3236, 6411 	 interoperabilitás
1756872-3236 	 beágyazott@rendszer
1756876-3236 	 funkció
1757128-3236, 6416 	 tudásmérnökség
1757158-3226, 3236 	 képszegmentálás
1757321-1631, 2841, 3236 	 hitelességi@tényező
1757521-32 	 tudás
1757535-3236 	 szemantikus@háló
1757974-1016, 6416 	 kiválósági@hálózat
1758098-3236 	 munkaállomás
1758266-3226 	 e-mail
1758273-3226 	 fax
1758296-3226 	 telegráfia
1758297-3226 	 tv
1758364-3236 	 egér
1758420-3236 	 helyi@menü
1758425-3236 	 pozícionáló@eszköz
1758437-2031, 2831, 3226, 3236 	 képes@forgatókönyv
1758479-2831, 3236, 6411, 6821 	 számítógéppel@segített@tervezés
1758507-3236, 6821 	 ipari@robot
1758986-4821 	 hátrameneti@kormánylapátok
1759068-4816, 6411 	 ellenőrző@furat
1759180-4821 	 kikötőkötél
1759269-4821, 5641 	 farfedélzet
1763973-48, 5211 	 oldalszél
1767480-04, 0816, 0821 	 nukleáris@proliferáció
1769049-1631, 3236 	 azonosítható@személy
1769151-1236, 3226, 3236 	 anonimizálás
1769167-1006, 3236 	 személyes@adatok@gyűjtése
1770770-52 	 előzetes@értékelés
1770778-52 	 szennyezett@terület
1775811-2836 	 szociális@védőháló
1776438-2811, 2816 	 befogadó@társadalom
1779558-5636 	 tarvágás
1780101-3606 	 törmelékfolyás
1780382-56 	 korosztály
1780914-3606 	 lineáris@függvény
1781000-3606 	 inflexiós@pont
1799675-0806, 1016, 20, 60 	 mezőgazdasági@megállapodás
1799916-4826 	 légi@közlekedési@hatóság
1800299-4826 	 forgalom@elkerülésére@adott@tájékoztatás
1800311-4826 	 légiforgalmi@szolgálati@légterek
1800529-48, 4816 	 karbantartó@szervezet@működési@szabályzata
1801074-4806, 4826 	 befejező@megközelítés@navigációs@berendezése
1801278-4826 	 szárny
1801601-6036, 6811 	 povidon
1801620-6016, 6036 	 ultramagas@hőmérsékleten@történő@hőkezelés
1802496-6036 	 butilált@hidroxi-toluén
1802658-6036 	 glükonolakton
1803998-2421, 4006 	 túljegyzési@opció
1804104-2841, 6811 	 vivőanyag
1810855-44 	 mezőgazdasági@támogatás
1823079-5631 	 nyulak@vérzéses@betegsége
1824641-12, 48, 4816 	 nyilvántartási@ország
1825588-4816 	 vonószár
1831263-1226 	 pozitív@összeütközés
1838572-12 	 dokumentumalapú@ellenőrzés
1838949-1006 	 orvosszakértő
1857035-1216 	 emberrablás
1858159-16, 2426 	 kockázatkerülés
1858703-3226, 4031, 4806 	 meglévő@szolgáltató
1858771-2031 	 tőke@megőrzése
1858776-24, 4026 	 bruttó@könyv@szerinti@érték
1858934-3606, 5211, 5641 	 érdes@tüskéscápa
1858985-3606, 5211, 5641 	 óriás@ördögrája
1859328-5641 	 villás@tőkehalak
1859356-3606, 5211, 5641 	 gránátoshal
1859359-5641 	 észak-atlanti@gránátoshal
1859511-3606, 56 	 makrahalak
1859521-3606, 5641 	 torpedómakréla
1859532-3606, 5211, 5641 	 japán@sárgafarkúhal
1859693-3606, 56 	 tengeri@márnák
1859706-5641 	 nílusi@tilápia
1859750-3606, 5211, 5641 	 chilei@tengeri@sügér
1859759-3606, 5211, 5641 	 ausztráliai@szürke@tőkehal
1859771-3606, 5211, 5641 	 csíkos@jéghal
1859833-3606, 56 	 makrélafélék
1859872-5641 	 pásztás@farkashal
1859880-3606, 56 	 tonhalfélék
1859924-3606, 56 	 üveggéb
1860098-5641 	 ostoros@garnélák
1860516-1211, 2006 	 teljesítési@biztosíték
1860524-16, 24 	 jogi@értelemben@vett@fizetésképtelenség
1860532-16, 2021, 2431 	 kárfizetési@türelmi@idő
1860689-16, 2446 	 fiskális@dömping
1860902-0811 	 ágazati@költségvetés@támogatása
1860929-0806, 0811 	 multilaterális@donor
1861316-2826, 2831 	 Nemzetközi@Sport-@és@Kulturális@Szövetség
1861755-10, 3236 	 a@schengeni@környezet@kommunikációs@infrastruktúrája
1862303-2031 	 Európai@Direkt@és@Interaktív@Marketing@Szövetség
1862380-5626, 6006, 6411 	 gyomirtó@szernek@ellenálló@géntechnológiával@módosított@növény
1862688-6616 	 Északi-tengeri@Tengerhatósági@Fórum
1862903-1606, 2011 	 SAFTA
1863496-2031, 3236 	 szalaghirdetés
1863561-3236 	 vékonykliens
1863567-3236 	 virtuális@vállalkozás
1863720-0436 	 folytatólagos@munkaprogram
1863780-2841, 6416 	 nemkívánatos@esemény
1863799-4816 	 „@Megállj@”@állású@jelző@meghaladása
1863832-0431, 2841 	 biztonsági@szint
1864160-1211, 2841 	 élő@végrendelet
1865178-2841 	 mozgást@segítő@eszköz
1865189-16 	 kulturális@gazdaság
1865279-10 	 előcsatlakozási@támogatásban@részesülő@ország
1865395-12, 28, 7626 	 Ombudsmanok@európai@hálózata@a@gyermekekért
1865718-2841 	 lágyszöveti@szarkóma
1865764-1006 	 helyes@hivatali@magatartásra@vonatkozó@szabályzat
1865770-10, 2021, 4031 	 szubvencióellenes@eljárás
1865772-10, 1606 	 információnyújtási@rendelkezés
1865980-16, 2006, 2031, 3236 	 vírusmarketing
1865996-24, 4026 	 EBITDA
1866021-20, 3236 	 online@vásárló
1866178-5216, 6826 	 fényszennyezés
1866190-2031, 6031 	 az@oltalom@alatt@álló@eredetmegjelölések@és@földrajzi@jelzések@nyilvántartása
1866210-2416, 2421 	 kezesi@felelősség
1866229-2826, 3226, 3236 	 játékkonzol
1866417-52 	 környezetterhelés
1866513-4816 	 nyers@karosszéria
1866583-1016, 24, 2411 	 euroátváltási@árfolyamok
1866587-3206 	 tanulmányi@célú@elismerés
1866719-1006 	 Főtitkárság
1866720-1006 	 Jogi@Szolgálat
1866722-1006, 16, 24 	 Gazdasági@és@Pénzügyi@Főigazgatóság
1866724-1006, 4031 	 Versenypolitikai@Főigazgatóság
1866727-1006, 48, 66 	 Energiaügyi@és@Közlekedési@Főigazgatóság
1866728-1006 	 Környezetvédelmi@Főigazgatóság
1866729-1006, 6416 	 Kutatási@és@Innovációs@Főigazgatóság
1866733-1006, 1016, 1616 	 Regionális@és@Várospolitikai@Főigazgatóság
1866734-1006 	 Adóügyi@és@Vámuniós@Főigazgatóság
1866735-1006 	 Oktatásügyi@,@Ifjúságpolitikai@,@Sportügyi@és@Kulturális@Főigazgatóság
1866738-1006 	 Külkapcsolati@Főigazgatóság
1866739-1006 	 Kereskedelmi@Főigazgatóság
1866740-1006 	 Fejlesztési@Főigazgatóság
1866741-1006, 1016 	 Bővítési@Főigazgatóság
1866744-1006 	 Személyi@Állományi@és@Igazgatási@Főigazgatóság
1866746-1006, 1021 	 Költségvetési@Főigazgatóság
1866803-6811 	 spektrometria
1866874-2011, 2431 	 garanciajegyek@formájában@nyújtott@egyedi@kezesség
1867226-2841 	 helyben@történő@diagnosztikai@vizsgálat
1867261-6811 	 polidiszperzitás
1867268-2841 	 perifériás@vér@őssejt
1867284-2841 	 nem@keményítő@típusú@poliszacharid
1867318-6806 	 faalapú@lemez
1867390-1016, 2011 	 közösségi@vámügyi@cselekvési@program
1867573-3231, 3236 	 szimmetrikus@algoritmus
1867591-3226, 3236 	 elektronikus@hírközlés
1867617-3236 	 aszimmetrikus@algoritmus
1867626-3226, 3236 	 webszerver
1867641-12 	 a@jog@kiszámíthatósága
1867642-3236 	 aláíró
1867662-1016, 1621 	 szolgáltatások@belső@piaca
1867682-4816 	 vasúti@csomag
1868045-3606 	 pepinó@mozaik@vírus
1868332-2841 	 független@adatfigyelő@bizottság
1869104-2021, 4031 	 vizsgálati@időszak
1869230-16, 4006 	 kockázatkezelési@vezető
1869463-2446, 4821 	 tonnás@adórendszer
1869723-2841 	 neurális@őssejt
1869765-2416 	 vállalati@kötvénypiac
1869807-16, 4011 	 koronavállalat
1870085-16 	 Hálózat@a@Globális@Fejlődésért
1870389-5641 	 nyelvhalak
1870398-0811, 1006, 1016 	 Közös@Relex@Információs@Rendszer
1870646-5206, 6826 	 elektromos@és@elektronikus@berendezések@hulladékai
1870666-6011 	 friss@hús
1870750-5631 	 prion@fehérje
1870760-2841, 5631, 6036 	 különleges@fertőzési@veszélyt@jelentő@anyag
1870847-6011 	 villacsont
1870968-5631, 5641 	 a@lazacok@fertőző@vérszegénységét@okozó@vírus
1871044-3606 	 indonéz@tiszafa
1871083-3606 	 Euphorbia@tirucalli
1871201-3606, 5211 	 tibeti@antilop
1871352-6626 	 offshore@szélpark
1871484-2841, 3606 	 fágtípus-meghatározás
1871506-3236, 4826 	 légköri@szonda
1871721-6811 	 geometriai@izoméria
1871750-3226, 3606 	 műhold-konstelláció
1871766-4826, 6821 	 segédhajtómű
1871795-4826, 6826 	 elektrotermikus@meghajtás
1872489-3226 	 forgalomszabályozás
1872526-3236, 4416, 4811 	 dedikált@fájl
1872587-3226, 3236 	 nodeB
1872704-3226 	 nagy@magasságú@hordozóra@telepített@állomás
1872876-3606, 52 	 mesterséges@víztest
1872877-3606 	 jelentősen@módosított@víztest
1872878-3606, 5211 	 felszíni@víztest
1872882-3606 	 a@felszíni@víz@állapota
1872883-3606 	 a@felszín@alatti@víz@állapota
1872885-3606 	 jó@ökológiai@potenciál
1872889-3606 	 vízszolgáltatás
1872891-3606, 52 	 kibocsátásszabályozás
1872930-12 	 közös@adatvédelmi@ellenőrző@hatóságok@titkársága
1872938-5211 	 éghajlatváltozási@konferencia
1872950-5216 	 regenerálás
1873297-4026 	 eredményszemléletű@elszámolás
1873317-0811 	 vezető@donor
1873332-4011 	 mikrovállalkozás
1873368-0431, 3221 	 dezinformáció
1873426-3206 	 oktatási@utalvány
1873525-2431, 2836 	 mennyiségi@hatásvizsgálat
1873653-24 	 fix@kamatozású@arbitrázs
1874096-3606 	 korpafűfélék
1874155-0416 	 Nemzetközi@Alapítvány@a@Választási@Rendszerekért
1874162-3236 	 Web-hozzáférhetőségi@kezdeményezés
1874182-2031 	 szabványosítási@megállapodás
1874191-5216, 6811 	 rövid@láncú@klórozott@paraffin
1874209-10, 2436 	 Ellenőrzésfelügyeleti@Bizottság
1874214-16, 4006 	 kkv-keret
1874218-1016 	 az@egységes@piacra@vonatkozó@cselekvési@terv
1874222-16, 2826, 6806 	 Kisvállalkozások@Európai@Chartája
1874308-2841 	 plasztinálás
1874396-6036 	 keresztkötésű@nátrium@-@karboximetil@-@cellulóz
1874399-6036 	 oxigén
1874401-6036 	 propán-1@,@2-diol
1874668-12, 44 	 a@tényleges@érvényesülés@elve
1874670-44 	 az@egyenértékűség@elve
1874721-2841 	 orvosi@izotóp
1874987-04, 3611 	 szervezetfejlesztés
1875145-0821, 20, 2031 	 legális@fegyverkereskedelem
1875207-3226 	 roamingdíj
1875228-3236 	 legfelső@szintű@doménnév-nyilvántartó
1875253-3236, 7611 	 Európai@Internet@Alapítvány
1875255-2026 	 Európai@Fogyasztói@Központ
1875266-4006, 4011 	 Európai@Üzleti@Angyalok@Hálózata
1875294-3231, 3236 	 virtuális@közösség
1875432-3236, 6416 	 kvantuminformatika
1875450-3206 	 Jean@Monnet@tanszék
1875451-10, 3206 	 Jean@Monnet@Kiválósági@Központ
1875498-3236 	 kiterjesztett@valóság
1875597-0436 	 nemzeti@egységkormány
1875834-6811 	 cukorgerinc
1875849-4821, 5641 	 merülésvonal@fölötti@magasság
1875866-4821 	 konténerhelybérlet
1875867-4826 	 főfuvarlevél
1875900-7606 	 az@Egyesült@Nemzetek@Közgyűlésének@rendes@ülésszaka
1876040-4021 	 konkrét@,@mérhető@,@teljesíthető@,@reális@és@határidőhöz@kötött
1876168-0436, 52 	 a@Kiotói@Jegyzőkönyv@Megfelelési@Bizottsága
1876233-4811 	 multimodális@szállítás
1876234-48, 4811 	 intermodális@szállítás
1876239-48 	 kíséret@nélküli@kombinált@árufuvarozás
1876240-4821 	 ro-ro@szállítás
1876245-4816 	 szállítmány
1876248-2036, 4811 	 megbízó
1876249-2431, 4811, 4821 	 szállítmányozó
1876251-48 	 fuvarozó
1876255-4816, 6411 	 járműszerelvény
1876258-4816, 68 	 félpótkocsi
1876277-4816, 6411 	 csereszekrény
1876292-4816, 6411 	 nyomtávolság
1876344-1216, 2841 	 DNS-profil@meghatározása
1876395-3236 	 beépített@memória
1876638-04 	 európaizálódás
1876642-2831 	 üzleti@turizmus
1876656-4821 	 tengerészeti@felszerelés
1876664-5616 	 mezőgazdasági@parcella
1876820-0811, 0816, 1016 	 Európai@Stabilitási@Kezdeményezés
1876845-3606 	 fenotípusos@expresszió
1876950-5206 	 hulladékátalakítás
1877096-6411 	 Súlyos@Balesetek@Veszélyeivel@Foglalkozó@Iroda
1877099-52, 5206 	 természeti@és@környezeti@katasztrófákkal@kapcsolatos@információcsere-rendszer
1877129-2841 	 uterotrofikus@vizsgálat
1877188-1016, 52 	 európai@radiológiai@adatcsere-platform
1877773-0821, 3236 	 távközlési-informatikai@hadviselés
1877987-6826 	 szolarizáció
1878077-3226 	 digitális@mozi
1878091-3226 	 elektronikus@műsorújság
1878115-2831 	 audiovizuális@alkotás
1878344-3606, 5206 	 génforrások@megőrzése
1878351-3606 	 GM@élelmiszer
1878354-3606 	 biotechnológiai@termék
1878455-2841 	 antibiotikumrezisztencia-gén
1878470-3606, 6411 	 transzgén
1878536-5631 	 örökítőérték
1878549-3606 	 horizontális@génátvitel
1878573-3606 	 génkiütés
1878639-2841 	 analitikai@specificitás
1878643-5626, 6006, 6411 	 gyomirtószer-tűrés
1878645-5631 	 becsült@tenyészérték
1878672-3606, 6411 	 inváziós@tulajdonság
1878681-3606, 6411 	 állóképesség
1878712-2841 	 szisztematikus@irodalmi@áttekintés
1878731-2841 	 alfa-1-antitripszin-hiány
1878754-2841, 3606 	 zoonózisbaktérium
1878772-1236, 3611 	 genetikai@diszkrimináció
1878817-3236 	 iratkezelés
1879192-3606, 6626 	 kimenő@sugárzási@mérleg
1879267-3236, 68 	 háromdimenziós@nyomtatás
1879864-4816, 6826 	 ütközéselhárító@rendszer
1880010-1631, 4806, 4816 	 nem@honos@fuvarozó@által@végzett@nemzetközi@árufuvarozás
1880074-5216 	 PM10
1880112-48, 4816 	 közlekedési@folyosó
1880204-4816 	 konvojban@haladás
1880239-4806, 4816 	 védtelen@közlekedő
1880264-4816 	 normál@menethelyzet
1880265-4816 	 motorházfedél@elülső@éle
1880267-4816 	 motorházfedél@felső@része
1880274-4816 	 motorházfedél@szélének@referenciavonala
1880290-4806, 4811, 4816 	 oldalsó@aláfutásgátló
1880359-4816 	 kerékpársáv
1880658-4816 	 árufuvarozási@folyosó
1880730-4821 	 hajózható@belvízi@víziút
1880738-4811, 4821 	 cellás@konténerszállító@hajó
1880747-4826 	 helymegosztási@megállapodás
1880882-0416 	 különös@minősített@többség
1880914-0416 	 kislistás@választás
1880940-12 	 átvételi@elismervény
1880977-1236 	 rendkívüli@állapot
1881432-0436 	 decentralizált@közigazgatási@szerv
1881545-12 	 tengerentúli@közösség
1881548-12 	 tengerentúli@régió
1881598-12 	 közigazgatási@bíró
1881615-12 	 előzetes@kérdés
1882513-12 	 belga@szövetségi@ügyész
1883155-12 	 veszélyhelyzet
1883254-0416, 1236 	 általános@választójog
1883576-12 	 törvényességi@óvás
1884014-2841, 5626, 6811 	 etofenprox
1884790-2841, 6811 	 citikolin
1886771-2841 	 dekokinát
1887270-2421 	 tőzsdén@kereskedett@alap
1887275-16 	 Európai@Vállalatfigyelő@Szervezet
1887546-2841 	 őssejt-tudomány
1887713-2841, 3606 	 poszttranszkripciós@génelcsendesítés
1889969-2841 	 hormonháztartást@zavaró@anyag
1890248-2841 	 hatóanyag
1890261-3206 	 Nemzetközi@Nyitott@Oktatási@és@Távoktatási@Tanács
1890645-3236 	 Internetes@Forróvonal-szolgáltatók@Nemzetközi@Szövetsége
1890691-2831, 3206, 7616 	 Iszlám@Oktatási@,@Tudományos@és@Kulturális@Szervezet
1891358-72 	 Andorra@la@Vella
1891359-72 	 Abu-Dzabi
1891360-72 	 Kabul
1891361-72 	 Saint@John's
1891363-72 	 Tirana
1891364-72 	 Jereván
1891366-72 	 Luanda
1891367-72 	 Buenos@Aires
1891369-72 	 Bécs
1891370-72 	 Canberra
1891372-72 	 Baku
1891373-72 	 Szarajevó
1891374-72 	 Bridgetown
1891375-72 	 Dakka
1891376-72 	 Brüsszel
1891377-72 	 Ouagadougou
1891378-72 	 Szófia
1891379-72 	 El-Manáma
1891380-72 	 Bujumbura
1891381-72 	 Porto@Novo
1891383-72 	 Bandar@Seri@Begawan
1891384-72 	 Sucre
1891385-72 	 Brazíliaváros
1891386-72 	 Nassau
1891387-72 	 Timpu
1891388-72 	 Gaborone
1891389-72 	 Minszk
1891390-72 	 Belmopan
1891391-72 	 Ottawa
1891393-72 	 Kinshasa
1891394-72 	 Bangui
1891395-72 	 Brazzaville
1891396-7206 	 Bern
1891397-72 	 Yamoussoukro
1891399-72 	 Santiago@de@Chile
1891400-72 	 Yaoundé
1891402-72 	 Bogotá
1891403-72 	 San@José
1891404-72 	 Havanna
1891405-72 	 Praia
1891407-72 	 Nicosia
1891409-72 	 Berlin
1891410-72 	 Dzsibuti
1891411-72 	 Koppenhága
1891412-72 	 Roseau
1891413-72 	 Santo@Domingo
1891414-72 	 Algír
1891415-72 	 Quito
1891416-72 	 Tallinn
1891417-72 	 Kairó
1891418-7221 	 El-Ajún
1891419-72 	 Aszmara
1891420-72 	 Madrid
1891421-72 	 Addisz-Abeba
1891422-72 	 Helsinki
1891423-72 	 Suva
1891425-72 	 Palikir
1891427-72 	 Párizs
1891428-72 	 Libreville
1891429-72 	 London
1891430-72 	 Saint@George's
1891431-72 	 Tbiliszi
1891433-72 	 Accra
1891436-72 	 Banjul
1891437-72 	 Conakry
1891439-72 	 Malabo
1891440-72 	 Athén
1891441-72 	 Guatemalaváros
1891443-72 	 Bissau
1891444-72 	 Georgetown
1891445-72 	 Tegucigalpa
1891446-72 	 Zágráb
1891447-72 	 Port@-@au@-@Prince
1891448-72 	 Budapest
1891449-72 	 Jakarta
1891450-72 	 Dublin
1891451-72 	 Jeruzsálem
1891452-72 	 Újdelhi
1891453-72 	 Bagdad
1891454-72 	 Teherán
1891455-7206 	 Reykjavík
1891456-72 	 Róma
1891457-72 	 Kingston
1891458-72 	 Ammán
1891459-72 	 Tokió
1891460-72 	 Nairobi
1891461-72 	 Biskek
1891462-72 	 Phnompen
1891464-72 	 Moroni
1891465-72 	 Basseterre
1891466-72 	 Phenjan
1891467-72 	 Szöul
1891468-72 	 Kuvaitváros
1891469-7216 	 George@Town
1891470-72 	 Asztana
1891471-72 	 Vientián
1891472-72 	 Bejrút
1891473-72 	 Castries
1891474-72 	 Vaduz
1891476-72 	 Monrovia
1891477-72 	 Maseru
1891478-72 	 Vilnius
1891479-72 	 Luxembourg
1891480-72 	 Riga
1891481-72 	 Tripoli
1891482-7221 	 Rabat
1891483-72 	 Monaco
1891484-72 	 Chişinău
1891485-72 	 Antananarivo
1891487-72 	 Szkopje
1891488-72 	 Bamako
1891489-72 	 Rangun
1891490-7226 	 Ulánbátor
1891494-72 	 Nuáksút
1891496-72, 7206 	 Valletta
1891497-72 	 Port@Louis
1891498-72 	 Male
1891499-72 	 Lilongwe
1891500-72 	 Mexikóváros
1891501-72 	 Kuala@Lumpur
1891502-72 	 Maputo
1891503-72 	 Windhoek
1891505-72 	 Niamey
1891507-72 	 Abuja
1891508-72 	 Managua
1891509-72 	 Amszterdam
1891510-72 	 Oslo
1891511-72 	 Katmandu
1891512-72 	 Yaren
1891514-72 	 Wellington
1891515-72 	 Maszkat
1891516-72 	 Panamaváros
1891517-72 	 Lima
1891519-72 	 Port@Moresby
1891520-72 	 Manila
1891521-72 	 Iszlámábád
1891522-72 	 Varsó
1891526-72 	 Lisszabon
1891528-72 	 Asunción
1891529-72 	 Doha
1891531-72 	 Bukarest
1891532-72 	 Moszkva
1891533-72 	 Kigali
1891534-72 	 Rijád
1891535-72 	 Honiara
1891536-72 	 Victoria
1891537-72 	 Kartúm
1891538-72 	 Stockholm
1891541-7206 	 Ljubljana
1891543-7206 	 Pozsony
1891544-72 	 Freetown
1891546-72 	 Dakar
1891547-72 	 Mogadishu
1891548-72 	 Paramaribo
1891550-72 	 San@Salvador
1891551-72 	 Damaszkusz
1891552-72 	 Mbabane
1891554-72 	 N'Djamena
1891555-72 	 Lomé
1891556-72 	 Bangkok
