84-1011 	 tagállami@hatáskör
886572-1006 	 Intézményközi@Fordítási@és@Tolmácsolási@Bizottság
886583-3606, 56 	 hímsterilitás
886598-1231, 2811, 3226 	 személyazonosító@adat
886600-1011, 2006 	 koncessziós@jogosult
886619-7611 	 Barents@Euro-Sarkvidéki@Tanács
886621-10, 1006 	 audiovizuális@munkacsoport
886662-52, 5206 	 hulladéklerakó
886673-16, 24 	 pénzügyi@közvetítési@szolgáltatások@közvetett@módon@mért@díja
886731-10, 1006 	 az@Európai@Biztonsági@és@Együttműködési@Szervezettel@és@az@Európa@Tanáccsal@foglalkozó@munkacsoport
886752-3231, 6411 	 lézergravírozás
886759-2811, 4826 	 átszálló@utas
886796-52, 7606 	 együttes@végrehajtás
886804-2021, 56 	 termeléstől@elválasztott@jövedelemtámogatás
886859-0821, 1016, 2021 	 a@kettős@felhasználású@termékek@kivitelére@,@transzferjére@és@tranzitjára@,@valamint@az@e@termékekkel@végzett@brókertevékenységekre@vonatkozó@közösségi@ellenőrzési@rendszer
886890-1016, 2811 	 idegenrendészeti@őrizetbe@vesz
886904-10, 1006 	 szárazföldi@közlekedési@munkacsoport
886911-2841, 6411 	 in@vitro@diagnosztikai@orvostechnikai@eszköz
886939-10, 4821, 5641 	 uniós@halászflotta-nyilvántartási@szám
886977-0821 	 fegyveres@konfliktus
887015-3226 	 európai@geostacionárius@navigációs@lefedési@szolgáltatás
887023-28 	 feminizálódás
887032-1016, 1216 	 eszköz
887035-12 	 végrendeleti@végrehajtó
887058-0821 	 védelmi@tervezés
887062-1021, 24, 2441 	 teljesítménymutató
887088-16, 2026, 2416 	 határokon@átnyúló@átutalás
887092-0816, 0821 	 konfliktus@utáni@rehabilitáció
887105-04, 16 	 RIIA
887189-1011, 1016, 12 	 lojális@együttműködés@elve
887190-0806, 12 	 megkülönböztetésmentes@módon
887245-1011 	 bűnszervezet
887268-0806, 16, 2006, 2021 	 Megállapodás@a@közbeszerzésről
887277-0806, 12 	 ideiglenes@alkalmazás
887296-0806, 2011, 2021 	 dömpingellenes@megállapodás
887334-1016 	 az@Unió@külső@tevékenysége
887434-0806, 2826 	 Keretegyezmény@a@nemzeti@kisebbségek@védelméről
887445-0806, 1016 	 Partnerségi@és@együttműködési@megállapodás@egyrészről@az@Európai@Közösségek@és@tagállamai@és@másrészről@a@Kazah@Köztársaság@közötti@partnerség@létrehozásáról
887447-2406, 2421 	 a@transzeurópai@automatizált@valós@idejű@bruttó@elszámolási@rendszer
887513-0816, 1236, 7606 	 az@ENSZ@kínzás@és@más@kegyetlen@,@embertelen@vagy@megalázó@bánásmód@vagy@büntetés@elleni@küzdelemmel@foglalkozó@különleges@előadója
887527-1021 	 külső@tevékenység
887542-2021 	 Importengedélyezési@Bizottság
887551-1016, 66 	 transzeurópai@energiahálózat
887564-1216, 1221, 2811, 3236 	 tenyérnyomat
887579-1016, 1216 	 hormontartalmú@anyagok@és@más@növekedésserkentők@tiltott@kereskedelme
887611-1216 	 vagyon@elleni@bűnözés
887624-1016 	 a@Balti@Államok@Tanácsának@demokratikus@intézményekkel@és@emberi@jogokkal@,@többek@között@a@kisebbségekhez@tartozó@személyek@jogaival@foglalkozó@biztosa
887659-1226 	 ügyész
887661-12 	 bírói@kar
887715-0821, 1016 	 absztrakt@műveleti@tervezés
887754-2416 	 levelező@banki@szolgáltatások
887781-2021 	 a@világ@kakaógazdaságával@foglalkozó@tanácsadó@bizottság
887800-1016, 1231, 2811 	 állampolgárság@szerinti@állam
887802-0806, 1016 	 az@Európai@Közösségek@pénzügyi@érdekeinek@védelméről@szóló@egyezmény
887804-1016, 12, 1216 	 bűnsegély@és@felbujtás
887903-1626, 5206 	 integrált@környezeti-gazdasági@számlák@európai@rendszere
887935-1016, 12, 1216 	 okmányokkal@való@visszaélés
887954-04, 3226 	 nyilvános@meghallgatás
887965-1006 	 Mertens-csoport
887992-0816, 0821 	 béketeremtő@művelet
887994-72 	 Isztambul
888020-5641 	 mélytengeri@fajok
888039-7606 	 az@ENSZ-főtitkár@különleges@képviselője
888104-5606 	 növény-egészségügyi
888121-0806, 7611 	 2.@Kiegészítő@jegyzőkönyv@az@Európa@Tanács@kiváltságairól@és@mentességéről
888122-0806, 7611 	 3.@Kiegészítő@jegyzőkönyv@az@Európa@Tanács@kiváltságairól@és@mentességeiről
888123-0806, 7611 	 4.@Kiegészítő@jegyzőkönyv@az@Európa@Tanács@kiváltságairól@és@mentességéről
888159-0806, 16, 24, 7221, 7616 	 UEMOA
888161-1606, 1621, 7616 	 Kelet-@és@Dél-afrikai@Közös@Piac
888221-1006, 52 	 nemzetközi@környezetvédelmi@kérdésekkel@foglalkozó@munkacsoport@(@éghajlatváltozás@)
888229-0811, 5216, 7606 	 a@Természeti@Katasztrófák@Csökkentésének@Nemzetközi@Évtizede
888302-0806, 1016, 1216 	 Europol-egyezmény
888307-16, 24 	 kontraszelekció
888330-24, 2416, 4026 	 levonás
888350-1236, 7606 	 Bécsi@Nyilatkozat@és@Cselekvési@Program
888401-1211, 2806 	 törvényes@gyámság
888427-52, 66 	 energiahatékonysági@címkézés
888431-0806, 7611 	 5.@Kiegészítő@jegyzőkönyv@az@Európa@Tanács@kiváltságairól@és@mentességéről
888474-1216, 3236 	 elemzési@munkafájl
888494-1216 	 korrupció
888520-0806, 1016, 66 	 az@Európai@Energia@Charta@Konferencia@Záróokmánya
888527-0431, 3236 	 fenyegetésértékelés
888557-1016 	 a@Bizottság@csalás@elleni@stratégiája
888560-2406, 2411, 2416 	 likviditási@kockázat
888582-2021 	 a@Nemzetközi@Kakaótanács@elnöke
888586-24 	 alaptermék
888608-10, 24, 2441 	 belső@politikák
888617-2021, 24, 2416 	 vagyonkezelői@kötelezettség
888648-10, 1006 	 európai@fegyverzetpolitikai@munkacsoport
888678-2436 	 államháztartási@hiány
888690-2826, 7626 	 Európai@Fogyatékosügyi@Fórum
888713-2416 	 devizaswapügylet
888810-0806, 1016, 5206 	 Megállapodás@az@afrikai-eurázsiai@vándorló@vízimadarak@védelméről
888848-1011, 48, 6411 	 műszaki@vizsgálat
888858-0806, 1016, 5641 	 Megállapodás@az@Indiai-óceáni@Tonhalbizottság@létrehozásáról
888898-0806, 1016 	 Euromediterrán@megállapodás@egyrészről@az@Európai@Közösségek@és@azok@tagállamai@,@és@másrészről@a@Tunéziai@Köztársaság@közötti@társulás@létrehozásáról
888999-6621 	 kapcsolt@energiatermelő@létesítmény
889046-1016, 12, 2811 	 üldöző
889065-0806, 0816, 2811, 7606 	 kizáró@klauzula
889073-3606, 52, 7611 	 páneurópai@biológiai@és@tájdiverzitási@stratégia
889126-1006, 3606, 6416 	 IRMM
889162-6811 	 pirotechnikai@anyag
889164-2021, 6006, 7621 	 Nemzetközi@Gabonatanács
889257-5631 	 takarmány-alapanyagok
889286-3606, 5211 	 szökőár
889289-6006 	 szülői@növény
889342-0811, 1611, 2006, 24, 28 	 tisztességes@kereskedelem
889497-52 	 a@környezetben@tartósan@megmaradó@szerves@szennyező@anyagok
889529-0806, 1016, 5641, 7606 	 Megállapodás@az@Egyesült@Nemzetek@Szervezetének@1982.@december@10-i@tengerjogi@egyezményében@foglalt@,@a@kizárólagos@gazdasági@övezeteken@túlnyúló@halállományok@és@a@hosszú@távon@vándorló@halállományok@védelméről@és@kezeléséről@szóló@rendelkezések@végrehajtásáról
889548-0811, 6411 	 technológiai@fejlődés
889550-52 	 környezeti@externáliák
889568-0436, 1006, 1021, 4026 	 megbízhatósági@nyilatkozat
889569-52, 56 	 közösségi@jelentőségű@természeti@terület
889603-2841 	 reproduktív@egészség
889650-3606, 5641 	 nagyszemű@fogasdurbincs
889651-04, 0816, 0821 	 összetűzések@beszüntetése
889671-1016, 2441 	 közös@számviteli@bizottság
889675-5211 	 Nemzetközi@Tengerhasznosítási@Ágazati@Fórum
889713-1216, 16, 2416 	 offshore@pénzügyi@központ
889739-1211, 4006 	 területi@fizetésképtelenségi@eljárás
889756-10, 1016 	 intézmények@,@szervek@és@hivatalok
889805-1226, 7606 	 az@1994.@január@1.@és@1994.@december@31.@között@Ruanda@területén@elkövetett@népirtásért@és@a@nemzetközi@humanitárius@jog@egyéb@súlyos@megsértéséért@felelős@személyek@,@valamint@a@szomszédos@államok@területén@elkövetett@népirtásért@és@egyéb@hasonló@jogsértésekért@felelős@ruandai@állampolgárok@megbüntetésére@létrejött@Nemzetközi@Büntetőtörvényszék
889807-1626, 1631, 24 	 nemzeti@és@regionális@számlák@európai@rendszere
889825-1211, 2446 	 ingatlan@vagyontárgyak
889827-2446 	 adóköteles@gazdasági@tevékenység
889867-5641 	 halkiemelő@gép
889925-2011 	 vámkezesség
889985-2006, 2011, 2021 	 ideiglenes@dömpingellenes@vám@formájában@biztosított@összeg
890042-0811, 1016 	 fejlesztési@együttműködés
890043-2436, 2441 	 államháztartási@hiány
890058-12, 1236 	 szabad@mozgás
890082-6621, 7621 	 Nukleáris@Energia@Ügynökség
890083-0806, 48 	 a@nemzetközi@közúti@fuvarozást@végző@járművek@személyzetének@munkájáról@szóló@európai@megállapodás
890086-0806, 1016, 3606, 6416, 7611 	 Európai@Űrügynökség
890090-1006, 6416 	 Közös@Kutatóközpont
890093-3606, 6416, 7611 	 Középtávú@Időjárás@Előrejelzések@Európai@Központja
890096-0806, 4816 	 Nemzetközi@Vasúti@Árufuvarozási@Egyezmény
890097-1021, 1616 	 Európai@Regionális@Fejlesztési@Alap
890098-1021, 2826 	 ESZA
890101-6416, 7611 	 Európai@Szabadalmi@Hivatal
890102-0811, 7241 	 tengerentúli@országok@és@területek
890104-1006, 56, 60 	 élelmiszerügyi@tudományos@bizottság
890239-56 	 termelői@érték
890242-28, 4411 	 foglalkozási@státusz
890365-5641 	 feszítőlapos@vonóhálós@hajó
890487-56, 6011 	 származó@termék
890538-1011 	 tanácsi@határozat
890539-4006 	 a@társasági@jogról@szóló@első@irányelv
890648-5626, 6011 	 csontos
890685-2841, 6621 	 radioizotóp
890693-52, 6411 	 kockázatbecslés
890814-0816, 7606 	 Leszerelési@Értekezlet
890816-0806, 0821, 6621 	 nemzetközi@szerződés@a@fegyvercélú@nukleáris@hasadóanyagok@termelésének@tilalmáról
890821-3606, 4811, 6826 	 fényszóróegység
890839-12, 3236 	 közadat
890892-12, 1211 	 közös@tulajdon@a@túlélő@tulajdonostárs@várományi@jogával
890893-12 	 végintézkedési@képesség
890905-12 	 végintézkedés
890915-1211 	 kötelesrészre@jogosultság
890919-12 	 öröklési@szerződés
890921-1611, 1631, 2026, 2451 	 európai@fogyasztói@árindex
890946-1216, 1236, 28 	 prostitúcióra@kényszerítés
890948-1236, 2826 	 nők@és@lányok@elleni@erőszak
890952-3226, 3606 	 közszolgálati@műsorszolgáltatás
890959-0406 	 részvételi@demokrácia
891015-1011 	 jogalkotási@aktus
891035-3226, 3236 	 elektronikus@hirdetőtábla
891059-3226 	 Televíziós@vásárlási@műsorablak
891060-0416 	 kettős@minősített@többség
891070-1216, 7606 	 Bűnmegelőzési@és@Büntető@Igazságszolgáltatási@Bizottság
891078-2811, 4826 	 repülőtéri@tranzitvízum
891085-52 	 a@Berlini@Mandátum@ad@hoc@csoportja
891100-7206 	 Bosznia-hercegovinai@Föderáció
891101-08 	 főképviselő
891108-12, 2826 	 oldalági@rokonok
891118-04 	 Muzulmán@Testvériség
891140-4826 	 ICAO@Tanács
891144-1016 	 Ázsia@–@Európa@találkozó
891149-2011 	 áru@vámfelügyelet@alóli@elvonása
891160-1016, 12, 2811 	 idegenrendészeti@fogda
891163-10, 1006 	 ENSZ-munkacsoport
891212-16, 24, 7616 	 Közép-Afrikai@Gazdasági@és@Monetáris@Közösség
891223-48, 52 	 nehézgépjármű
891224-1226, 7606 	 nemzetközi@büntetőtörvényszék
891231-1016, 16 	 átfogó@gazdaságpolitikai@iránymutatások
891244-1016 	 együttes@politikai@nyilatkozat
891248-0821 	 vezérkari@főnök
891262-7606 	 Második@Bizottság
891263-7606 	 Speciális@Politikai@és@Dekolonizációs@Bizottság
891264-7606 	 Ötödik@Bizottság
891265-1016 	 Új@Transzatlanti@Cselekvési@Program
891316-1016, 2841, 3606 	 allélikus
891354-2826 	 nemi@sztereotípia
891423-12 	 az@Egyesült@Királyság@törvénytára
891446-1016, 2811 	 csoportos@útlevél
891469-0806, 12, 7606 	 a@Ruandai@Nemzetközi@Törvényszék@Alapokmánya
891492-2826 	 nemek@közötti@összehasonlító@elemzés
891511-1016 	 az@afrikai@,@karibi@és@csendes-óceáni@államok@karibi@csoportjának@fóruma
891519-2841, 5631 	 az@Európai@Gyógyszerügynökség@igazgatótanácsa
891562-12 	 teljes@jogú@tag
891576-1211 	 jogellenes@károkozásért@való@felelősség
891593-0816, 0821, 1016 	 PIC
891603-12, 24 	 csalás
891605-10, 1006 	 a@transzatlanti@kapcsolatokkal@foglalkozó@munkacsoport
891608-7211 	 brüsszeli@régió
891611-0811, 1011, 1016, 2006 	 Barcelonai@Nyilatkozat
891614-0806, 1016, 6416 	 Védjegyjogi@Szerződés
891628-1626, 1631, 24 	 nemzeti@és@regionális@számlák@európai@rendszere
891650-1016, 3236 	 adattárolás@ellenőrzése
891681-1216 	 zsarolás
891682-12, 2806 	 érdekházasság
891693-3606, 5641 	 ostoros@garnélák
891697-24, 2416, 4026 	 átláthatóság
891703-4006 	 tőzsdén@nem@jegyzett@vállalat
891710-2811 	 legalizálás
891751-1016, 1216, 2811 	 a@barcelonai@folyamat@euromediterrán@bizottsága
891765-1006 	 aktív@foglalkoztatásban@álló@tisztviselő
891779-1016, 12, 1216 	 tevékeny@megbánás
891782-12 	 enyhítő@körülmény
891784-1006, 1011 	 végrehajtási@intézkedés
891842-2416 	 biztosítéki@megállapodás
891869-0806, 2841, 5206 	 Jegyzőkönyv@a@bizonyos@tisztítóanyagok@mosó-@és@tisztítószerekben@való@alkalmazásának@korlátozásáról@szóló@európai@megállapodás@módosításáról
891886-0806, 2826 	 A@társadalombiztosítás@európai@szabályainak@jegyzőkönyve
891913-2416, 4026 	 nem@kereskedési@könyv
891925-2416 	 tőkekövetelmény
891973-0806, 12 	 államfő
891986-1216, 3236 	 Europol@Információs@Rendszer
891989-1016, 1216 	 elemző@csoport
892002-1016, 1216 	 a@közös@ellenőrző@szerv@elnöke
892012-1631, 24 	 elsődleges@egyenleg
892017-1016 	 igazgató
892018-1016 	 igazgatóhelyettes
892053-0811, 1016, 7606 	 országstratégiai@dokumentum
892065-1016, 1216, 2841 	 emberi@szervek@és@szövetek@tiltott@kereskedelme
892068-1016, 1216 	 túszul@ejtés
892075-1016, 1216 	 kulturális@javak@–@ideértve@a@régiségeket@és@műtárgyakat@is@–@tiltott@kereskedelme
892089-1016, 1216 	 okmányhamisítás@és@a@hamisított@okmányokkal@való@kereskedelem
892100-1216 	 fegyverek@,@lőszerek@és@robbanóanyagok@tiltott@kereskedelme
892101-1216, 52 	 veszélyeztetett@állatfajok@tiltott@kereskedelme
892102-1016, 1216 	 veszélyeztetett@növényfajok@és@-fajták@tiltott@kereskedelme
892106-1006 	 Minősített@Adatok@Hivatala
892131-1016, 1216 	 pénzmosási@tevékenységek
892151-1016, 1216, 6416 	 ügyiratszám
892220-2406, 2411 	 valós@idejű@bruttó@elszámolási@rendszer
892257-2416 	 termékkategóriák@közötti@nettósítás
892277-16, 2416, 2421 	 értékpapír-kiegyenlítési@rendszer
892332-2416 	 euróváltó
892369-2416, 2426 	 kockázat/nyereség@profil
892390-12 	 kényszerítés
892417-2416 	 devizakockázat
892421-2416 	 piaci@árazás@szerinti@érték
892518-0821 	 jogkörátadás
892525-2416 	 lejárati@tábla
892528-24, 2416, 2421 	 báziskockázat
892594-2416 	 rövid@lejáratú@értékpapír
892603-2416 	 áringadozás
892614-72 	 az@afrikai@Nagy-tavak@régiója
892615-7206 	 Boszniai@Szerb@Köztársaság
892669-24, 2416, 2421 	 delta-fedezés
892673-10, 1006 	 szántóföldi@növényekkel@foglalkozó@munkacsoport@(@rizs@)
892721-24, 2416, 2421 	 biztosíték
892746-2826, 3206 	 tanuló@társadalom
892751-2416 	 származtatott@kamatügylet
892777-3236 	 adatmegőrzés
892778-1236, 3236 	 a@személyes@adatok@védelme
892793-1631, 56 	 válaszadói@terhek
892830-1016 	 többéves@indikatív@program
892861-10 	 magas@szintű@munkacsoport
892864-0806, 2826, 2841 	 Egyezmény@a@bányászat@munkavédelméről@,@1995
892875-0806, 2021, 3236, 6416 	 információtechnológiai@megállapodás
892876-0806, 2826, 2841 	 1995.@évi@jegyzőkönyv@a@munkaügyi@ellenőrzésről@szóló@1947.@évi@egyezményhez
892891-1016 	 technikai@segítségnyújtás@és@információcsere
892896-0806, 12 	 parafálás
892961-24, 2416, 2431, 4006 	 eszközkezelő@társaság
892967-24, 2416, 2431, 4006 	 részesedő@vállalkozás
892968-2416, 2431, 4006 	 biztosítási@holding@társaság
892972-2416, 2431, 4006 	 vegyes@tevékenységű@biztosítói@holdingtársaság
892998-10, 1006 	 szántóföldi@növényekkel@foglalkozó@munkacsoport@(@szárított@takarmány@)
893019-1006 	 állati@termékekkel@foglalkozó@munkacsoport@(@méhészet@és@méz@)
893021-08, 1016 	 az@afrikai@Nagy-tavak@régiójáért@felelős@EUKK
893024-10, 1006 	 Codex@Alimentarius@munkacsoport
893033-6411 	 dobozrendszer
893049-2416, 6411 	 Európai@Banki@Szabványügyi@Bizottság
893080-3606, 56, 6006 	 kínai@gyömbér
893084-10, 1006 	 mezőgazdasági@kérdésekkel@foglalkozó@munkacsoport@(@peszticidek@/@növényvédő@szerek@)
893119-2831, 7211 	 Belgiumi@Francia@Közösség
893122-7211 	 német@ajkú@közösség
893124-7211 	 flamand@régió
893184-0806, 12 	 jogszerűen@meghatalmazott@képviselő
893215-4826 	 repülőtér-üzembentartó
893230-10, 1006 	 kettős@felhasználású@termékekkel@foglalkozó@munkacsoport
893253-4006 	 felszámolási@eljárás
893259-1016, 12, 4816 	 közúti@közlekedési@jogsértés
893263-0816, 1016, 7226 	 közel-keleti@békefolyamat
893267-10, 1006 	 Ázsia-Óceánia@munkacsoport
893277-3226, 3236 	 tartomány
893412-0806, 7606 	 Egyezmény@az@Egyesült@Nemzetek@saját@és@kisegítő@személyzetének@biztonságáról
893418-1016, 2441, 6611, 6816 	 hatékonyság
893426-2021, 24, 2441 	 a@"@költségvetési@kiadások@"@vagy@"@kiadások@"@magukban@foglalják@a@bevételekről@való@lemondást@is
893429-0806 	 Európai@keretegyezmény@a@területi@önkormányzatok@és@közigazgatási@szervek@határmenti@együttműködéséről@-@Kiegészítő@jegyzőkönyv
893431-0806, 2826 	 Kiegészítő@jegyzőkönyv@az@Európai@Szociális@Chartához@a@kollektív@panaszok@rendszeréről
893522-1006, 1016, 12 	 a@Jogi@Szolgálat@észrevételei
893575-0816 	 a@biológiai@és@toxinfegyver-tilalmi@egyezmény@felülvizsgálati@konferenciája
893579-0816 	 a@biológiai-@és@toxinfegyver-tilalmi@egyezmény@egyetemessége
893590-0806, 1016, 2006 	 Régiók@közötti@együttműködési@keretmegállapodás@egyrészről@az@Európai@Közösség@és@tagállamai@,@másrészről@a@Dél-amerikai@Közös@Piac@és@részes@államai@között
893614-1016 	 politikai@párbeszéd@keretében@tartott@ülés
893650-1016 	 helyi@szintű@schengeni@együttműködés
893662-1226, 7606 	 a@volt@Jugoszláviával@foglalkozó@nemzetközi@büntetőtörvényszék
893666-4826 	 légtérfelhasználó
893689-2841, 5631 	 Víziállat-egészségügyi@Kódex
893711-4826 	 tervezett@útvonal
893774-0811, 7616 	 Andok@Nemzetközösség
893799-2811 	 huzamos@tartózkodási@engedéllyel@rendelkező
893834-0806, 0821, 6621 	 az@atomsorompó-szerződés@felülvizsgálati@konferenciája
893837-0811, 1016 	 segélyprogram
893843-3236 	 titkosított
893856-2406, 2411, 2416 	 fizetési@rendszer
893911-04, 1016 	 intézményfejlesztés
893972-6411 	 halogén@izzólámpa
893984-0806, 6621 	 az@afrikai@nukleáris@fegyvermentes@övezetről@szóló@szerződés
893991-3236 	 nyílt@forráskódú
894038-1016, 12, 1236 	 nemzeti@állampolgárság
894113-72, 7216 	 Saint@Lucia
894134-2406 	 Világgazdasági@kilátások
894145-0431, 0821 	 rögtönzött@robbanószerkezet
894157-2841, 6621 	 egyenértékdózis
894158-3606, 5211, 5641 	 közönséges@disznódelfin
894197-3226 	 tudakozó@szolgálat
894206-10, 1006 	 szekcióelnökség
894218-4811 	 vonórudas@pótkocsi
894249-2811, 7621 	 Nemzetközi@Migrációs@Politikát@Fejlesztő@Központ
894264-3606, 5211, 5611 	 bengáli@birs
894279-3606, 56, 6006 	 sziámi@gyömbér
894304-2011 	 kötelező@érvényű@származási@felvilágosítás
894315-2416 	 átruházható@értékpapírok@házaló@kereskedés@útján@történő@forgalma
894317-5631 	 kiselejtezett@állat
894320-1016, 12 	 bűnüldöző@szerv@tagja
894372-10, 1006 	 adóügyi@munkacsoport@(@közvetlen@adók@)
894412-0411, 1006 	 tag@,@aki@egyetlen@csoporthoz@sem@csatlakozott
894440-4826, 6411 	 légi@jármű@borítása
894463-1236, 2826 	 nemi@dimenzió
894465-4826 	 légtérgazdálkodás
894470-4826 	 integrált@előzetes@repülésiterv-feldolgozó@rendszer
894485-1016 	 megerősített@együttműködés
894491-10, 1006 	 eljárási@szabályzati@bizottság
894495-0431, 0806, 0821 	 szolidaritási@klauzula
894507-0821 	 európai@fegyverkezési@együttműködés
894532-12 	 szabályozási@konvergencia
894563-0811, 2011, 7616 	 Karibi@Vámügyi@Bűnüldözési@Tanács
894570-24, 2416 	 delta-semleges@pozíció
894580-0811, 1016, 1216 	 határon@átnyúló@üldözés
894589-3226 	 token
894626-4826 	 tüzelőanyag-leeresztés
894669-10, 1006 	 elektronikus@kommunikációval@foglalkozó@munkacsoport
894708-12 	 nemzetközi@büntetőbíráskodás
894728-04, 7226 	 Palesztin@Nemzeti@Hatóság
894755-0806 	 Európai@egyezmény@a@gyermekek@jogainak@gyakorlásáról
894757-0806, 1236 	 Európai@megállapodás@az@Emberi@Jogok@Európai@Bírósága@eljárásaiban@részt@vevő@személyekről
894760-2841, 52, 6811 	 előzetes@tájékoztatáson@alapuló@jóváhagyási@eljárás
894796-0811, 2826, 7606 	 a@nők@társadalmi@szerepvállalásának@növelése
894827-0426, 1006 	 együttes@szavazás
894832-2406, 2411 	 euróövezet
894836-2406, 2411, 2416 	 nemzeti@központi@bank
894839-1006 	 a@Szervezetfejlesztésért@és@a@Szolgálatokért@Felelős@Főigazgatóság
894842-1006 	 Fordítószolgálat
894843-1006 	 B.@Főigazgatóság@–@Mezőgazdaság@,@Halászat@,@Szociális@Ügyek@és@Egészségügy
894847-1006 	 3.@Igazgatóság@-@Halászat@és@külkapcsolati@vonatkozásai
894878-2446 	 fordított@adózás
894920-4006, 6806 	 A@Közösség@iránymutatása@a@nehéz@helyzetben@lévő@vállalkozások@megmentéséhez@és@szerkezetátalakításához@nyújtott@állami@támogatásokról
894928-16, 2826, 3206, 4406 	 foglalkoztathatóság
894931-1016 	 EU@–@Törökország@kvb
895021-0806, 4821 	 Stockholmi@Megállapodás
895036-52, 72 	 biogeográfiai@régió
895043-0416, 1006 	 minősített@többségi@szavazatküszöb
895053-00 	 végső@eszközként
895073-1216 	 kábítószer-kartell
895084-0806, 1016 	 schengeni@vívmányok
895086-52 	 az@Éghajlat-változási@Kormányközi@Testület@értékelő@jelentése
895157-1016, 16, 66, 6806 	 ipari@megtérülés
895204-2416 	 az@elszámolások@véglegességéről@szóló@irányelv
895229-6411 	 megengedett@sebesség
895283-52 	 mennyiségileg@meghatározott@kibocsátáskorlátozási@és@-csökkentési@kötelezettség
895295-1006 	 Sajtóügyi@,@Kommunikációs@és@Átláthatósági@Főigazgatóság
895299-1006 	 Gazdasági@és@Szociális@Főigazgatóság
895300-1006 	 H.@Főigazgatóság@-@Bel-és@Igazságügy
895301-1006 	 Éghajlatváltozási@,@Környezetvédelmi@,@Egészség-@,@Fogyasztó-@,@Élelmiszerügyi@,@Oktatási@,@Ifjúsági@,@Kulturális@,@Audiovizuális@és@Sportügyi@Főigazgatóság
895318-1216, 2826, 2841 	 szintetikus@kábítószer
895320-0811, 5216, 68 	 ember@által@okozott@katasztrófa
895336-1216, 24 	 karibi@pénzügyi@akció@munkacsoport
895348-4006, 4021, 52 	 környezeti@teljesítmény
895359-48 	 transzeurópai@közlekedési@hálózat
895384-3606, 52, 6411 	 vízkinyerés
895412-72 	 karibi@térség
895458-0806, 3606 	 a@Biológiai@Sokféleség@Egyezmény@Cartagena@Jegyzőkönyve@a@Biológiai@Biztonságról
895484-5641 	 halászati@felügyelő@központ
895505-6411 	 egységes@európai@fénykéve
895538-2826 	 tartós@elhelyezkedés
895561-3606, 5211, 5641 	 óriás@borostyáncsuka
895562-0806, 1016, 6621 	 a@kiégett@fűtőelemek@kezelésének@biztonságáról@és@a@radioaktív@hulladékok@kezelésének@biztonságáról@szóló@közös@egyezmény
895563-3606, 5641 	 óriás@osztriga
895575-1006, 1016 	 a@közös@kül-@és@biztonságpolitika@főképviselője
895602-7606 	 OIOS
895615-52 	 hozzáférési@nyilatkozat
895632-0806, 1016 	 Euromediterrán@megállapodás@egyrészről@az@Európai@Közösségek@és@azok@tagállamai@,@másrészről@Izrael@Állam@közötti@társulás@létrehozásáról
895667-1221 	 holland@királyi@ügyész
895668-16, 52 	 környezetvédelmi@vállalkozás
895689-2446 	 héa@nélküli
895690-0811, 1631, 2826 	 humán@fejlettségi@mutató
895697-2811 	 bevándorlási@áramlat
895699-1016, 76 	 Portugál@Nyelvű@Országok@Közössége
895712-16, 2826, 44, 4406 	 állami@foglalkoztatási@szolgálat
895787-10, 1006 	 Foglalkoztatási@Bizottság
895826-16 	 feltörekvő@ország
895836-16 	 feltörekvő@gazdaság
895838-0436 	 kormányzás
895863-1016 	 az@Unió@külső@tevékenységeinek@összhangja
895909-52, 66 	 végsőenergia-fogyasztás
895987-1216, 3236 	 számítógépes@bűnözés
896015-0811, 2021, 60 	 nettó@élelmiszer-importáló@fejlődő@ország
896018-16, 2416, 2421 	 speciális@célú@gazdálkodó@egység
896020-4826 	 jóváhagyott@karbantartó@szervezet
896028-2841, 52, 60, 6811 	 legkisebb@megfigyelhető@ártalmas@hatást@okozó@szint
896032-52 	 környezettudatos@működés@és@ügyvitel
896178-5641 	 műholdas@hajómegfigyelési@rendszer
896184-66 	 LNG-létesítmény
896186-6606 	 vertikálisan@integrált@vállalkozás
896224-3606 	 fürtös@bodza
896261-3606 	 tőzegáfonya
896290-1211 	 uratlan@hagyaték
896337-72 	 Umeå
896365-2841, 6411 	 minták@befogadására@szolgáló@tartály
896401-2006 	 szerződés@odaítéléséről@szóló@tájékoztató
896451-72 	 Turku
896470-2006 	 közös@közbeszerzési@szószedet
896484-0436, 16, 24, 40 	 köz-magán@társulás
896494-3226, 3236 	 átadási@pont
896509-1016, 1216 	 pre-prekurzor
896527-1616, 7611 	 Európai@Helyi@és@Regionális@Önkormányzatok@Kongresszusa
896544-1211 	 hallgatólagos@feltétel
896548-1216 	 kábítószer-bűnözés
896549-2811 	 vízummentességi@program
896568-3206 	 alulteljesítés
896604-0806, 1016 	 Partnerségi@és@együttműködési@megállapodás@egyrészről@az@Európai@Közösségek@és@tagállamai@,@és@másrészről@Azerbajdzsán@közötti@partnerség@létrehozásáról
896605-0806, 1016 	 Partnerségi@és@együttműködési@megállapodás@egyrészről@az@Európai@Közösségek@és@tagállamai@,@és@másrészről@az@Örmény@Köztársaság@közötti@partnerség@létrehozásáról
896606-1216, 7611 	 Igazságügyi@Szakértői@Intézetek@Európai@Hálózata
896679-2836, 2841, 6811 	 gamma@-@hidroxi@-@vajsav
896686-3606, 5641 	 fogasdurbincsok
